"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1429988_at",-0.330330912896641,4.1836783189192,-4.54979153064753,0.000178989743629363,0.999588986453457,-2.32605837317367
"1453759_at",0.335414478342203,6.21791528148319,4.37969435897408,0.000268090356911678,0.999588986453457,-2.43457198288534
"1452565_x_at",-0.870956450092747,6.69398593526522,-4.34239278831522,0.000292954821320872,0.999588986453457,-2.45874994944515
"1459733_at",-0.456666835827555,4.83954509746042,-4.33104900119517,0.000300965712383444,0.999588986453457,-2.46612938866417
"1441695_at",0.33200039489965,4.8335662650142,4.27269330824054,0.000345782001715469,0.999588986453457,-2.50428579706517
"1456211_at",0.322916258793899,3.91642555709939,4.05485681760246,0.000580624427568896,0.999588986453457,-2.64949971872849
"1448804_at",-0.663333888396082,5.66139799324555,-4.0011005997168,0.00065980302300968,0.999588986453457,-2.68597858623412
"1421488_at",0.321347233537471,5.15509139027025,3.93264485739403,0.000776378083520838,0.999588986453457,-2.73278092314466
"1425469_a_at",-0.736175359955263,8.27378516886461,-3.92256529681585,0.000795192561276292,0.999588986453457,-2.73970431257115
"1444624_at",0.412757743930319,6.32728422817422,3.91367200705373,0.000812168772573752,0.999588986453457,-2.74581960525892
