"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1448279_at",-0.997324369855143,8.31346573999809,-4.47841218962048,0.000212035557215086,0.999869040949443,-2.37124352476525
"1450407_a_at",-1.16055604129963,5.06722626887397,-4.27420755641732,0.000344538560075592,0.999869040949443,-2.50329160707496
"1459896_at",-0.418255828498924,5.55811111317347,-4.23712348365951,0.000376319162958386,0.999869040949443,-2.52770134573463
"1443024_at",-0.421341217267626,5.37069863479514,-3.76938191474456,0.0011436633689086,0.999869040949443,-2.84588578201898
"1419568_at",-0.37687139562415,6.20202575187617,-3.71699688144036,0.0012946591242831,0.999869040949443,-2.88259011859447
"1431872_at",-0.399500392000861,4.63899933620704,-3.66482314393658,0.00146460998811518,0.999869040949443,-2.9193309682846
"1450305_at",-0.469331514614669,5.38542921832516,-3.65800432348986,0.0014883906629527,0.999869040949443,-2.92414591137676
"1417093_a_at",0.292501392278888,5.10164826165642,3.6362138971213,0.00156696924212353,0.999869040949443,-2.93955244101608
"1446972_at",0.332729166855204,6.21638504101157,3.60494568067472,0.00168692343405341,0.999869040949443,-2.96171147817356
"1435021_at",-0.272889830928191,3.5559248099534,-3.57314825252277,0.00181818413534305,0.999869040949443,-2.98430565240293
